spectrum_/vin X,spectrum_/vin Y
13710937.5,-74.2483952733142
13750000,-74.15238476153132
13789062.5,-74.25697399770841
13828125,-74.40688025031797
13867187.5,-74.26549747739861
13906250,-74.44696998986201
13945312.5,-74.27396407541445
13984375,-74.12715460139489
14023437.5,-74.28237218229017
14062500,-74.37423418170221
14101562.5,-74.29072017841861
14140625,-74.46347500727927
14179687.5,-74.299006452974
14218750,-74.40096325174684
14257812.5,-74.30722938585214
14296875,-74.28986476290024
14335937.5,-74.31538738534712
14375000,-73.58266949600802
14414062.5,-74.323478848904
14453125,-74.16979150327479
14492187.5,-74.3315021781182
14531250,-66.75485610912416
14570312.5,-74.33945578766827
14609375,-74.21476340709299
14648437.5,-74.34733808696191
14687500,-73.59059776926895
14726562.5,-74.35514750756003
14765625,-74.66595542945127
14804687.5,-74.36288245620564
14843750,-74.43358900577363
14882812.5,-74.37054139904851
14921875,-74.41903139767054
14960937.5,-74.37812277297157
15000000,-74.42411011522292
15039062.5,-74.38562502123074
15078125,-74.43021631212065
15117187.5,-74.39304661615162
15156250,-74.45185246745331
15195312.5,-74.40038602443154
15234375,-74.84097820982188
15273437.5,-74.40764173247383
15312500,-74.45164014481426
15351562.5,-74.41481221739339
15390625,-74.57683648755237
15429687.5,-74.42189600023727
15468750,-74.20906854068618
15507812.5,-74.42889160518247
15546875,-74.08922107383289
15585937.5,-74.43579752591388
15625000,-74.76940540310895
15664062.5,-74.44261233899624
15703125,-74.39471104760648
15742187.5,-74.44933457403485
15781250,-80.83813965010924
15820312.5,-74.45596281029989
15859375,-74.7140292634457
15898437.5,-74.46249560439925
15937500,-74.95562190062563
15976562.5,-74.46893158518895
16015625,-74.40124796365059
16054687.5,-74.47526935825225
16093750,-74.42144580462741
16132812.5,-74.48150752679987
16171875,-74.51960682371848
16210937.5,-74.4876447536774
16250000,-74.59592706085931
16289062.5,-74.4936797048606
16328125,-72.87375957904351
16367187.5,-74.49961103432463
16406250,-74.45733103913793
16445312.5,-74.50543745545498
16484375,-75.24218477423877
16523437.5,-74.51115767157647
16562500,-74.34512459325657
16601562.5,-74.51677044284868
16640625,-74.21781185254049
16679687.5,-74.52227448571419
16718750,-75.23588337541406
16757812.5,-74.52766858782994
16796875,-74.58644209331939
16835937.5,-74.53295155888537
16875000,-75.20113872873928
16914062.5,-74.53812217838818
16953125,-74.51088198560809
16992187.5,-74.54317930183446
17031250,-76.09531437947818
17070312.5,-74.54812178937934
17109375,-74.45286137540495
17148437.5,-74.55294852499642
17187500,-74.63632742978976
17226562.5,-74.55765839847604
17265625,-74.69882780649546
17304687.5,-74.56225033162707
17343750,-74.67704644324354
17382812.5,-74.5667233083449
17421875,-74.23878131680877
17460937.5,-74.57107626201432
17500000,-74.31158276534751
17539062.5,-74.57530820767437
17578125,-10.31022906655611
17617187.5,-74.57941818402938
17656250,-74.36788096342531
17695312.5,-74.58340523059181
17734375,-73.8061364322644
17773437.5,-74.58726842699483
17812500,-74.73454226245336
17851562.5,-74.59100685582165
17890625,-74.99653337319975
17929687.5,-74.59461968975948
17968750,-74.71450590734266
18007812.5,-74.59810604709739
18046875,-74.73844694213582
18085937.5,-74.60146512278327
18125000,-74.59423127626187
18164062.5,-74.6046961464301
18203125,-74.45461431697689
18242187.5,-74.60779834972966
18281250,-74.214269899474
18320312.5,-74.61077100521325
18359375,-74.42024647864041
18398437.5,-74.61361339759871
18437500,-74.86207531599146
18476562.5,-74.61632488381936
18515625,-74.2696730038369
18554687.5,-74.6189048017486
18593750,-74.57563323954832
