(VT("/vin") - 0.6) X,(VT("/vin") - 0.6) Y,((VT("/o1") + VT("/o2") + VT("/o3") + VT("/o4") + VT("/o5") + VT("/o6") + VT("/o7") + VT("/o8") + VT("/o9") + VT("/o10") + VT("/o11") + VT("/o12") + VT("/o13") + VT("/o14") + VT("/o15")) / (1.8 * 15)) X,((VT("/o1") + VT("/o2") + VT("/o3") + VT("/o4") + VT("/o5") + VT("/o6") + VT("/o7") + VT("/o8") + VT("/o9") + VT("/o10") + VT("/o11") + VT("/o12") + VT("/o13") + VT("/o14") + VT("/o15")) / (1.8 * 15)) Y,/vin X,/vin Y
2.810481620197733e-10,-0.1998426130292689,2.810481620197733e-10,0.1266286791288899,2.810481620197733e-10,0.4001573869707311
2.843099999900672e-10,-0.1998407864000055,2.843099999900672e-10,0.124740432202519,2.843099999900672e-10,0.4001592135999945
2.907338654195879e-10,-0.199837189035365,2.907338654195879e-10,0.1209255954061759,2.907338654195879e-10,0.400162810964635
2.961250043589339e-10,-0.1998341699975589,2.961250043589339e-10,0.1170425523778981,2.961250043589339e-10,0.400165830002441
3.03556012359001e-10,-0.1998300086330789,3.03556012359001e-10,0.1109278637398441,3.03556012359001e-10,0.4001699913669211
3.082862767308409e-10,-0.1998273596850307,3.082862767308409e-10,0.1079574260898896,3.082862767308409e-10,0.4001726403149693
3.132943728024778e-10,-0.1998245551512305,3.132943728024778e-10,0.106609985126245,3.132943728024778e-10,0.4001754448487694
3.185329795339474e-10,-0.1998216215314609,3.185329795339474e-10,0.1068244745980052,3.185329795339474e-10,0.400178378468539
3.255665696602642e-10,-0.1998176827209902,3.255665696602642e-10,0.1087867256030087,3.255665696602642e-10,0.4001823172790098
3.319165024980429e-10,-0.1998141267586011,3.319165024980429e-10,0.1116245136964923,3.319165024980429e-10,0.4001858732413989
3.39425066001138e-10,-0.1998099219630393,3.39425066001138e-10,0.11540815183017,3.39425066001138e-10,0.4001900780369607
3.477432491934524e-10,-0.1998052637804516,3.477432491934524e-10,0.1188627730268299,3.477432491934524e-10,0.4001947362195484
3.553604739170776e-10,-0.1998009981346064,3.553604739170776e-10,0.1206867918437117,3.553604739170776e-10,0.4001990018653936
3.629635167263167e-10,-0.1997967404306332,3.629635167263167e-10,0.1224496752645118,3.629635167263167e-10,0.4002032595693668
3.704463200396883e-10,-0.1997925500607777,3.704463200396883e-10,0.124625403045311,3.704463200396883e-10,0.4002074499392222
3.82596621031851e-10,-0.1997857458922221,3.82596621031851e-10,0.1279960161120698,3.82596621031851e-10,0.4002142541077778
3.91664638412787e-10,-0.1997806678024888,3.91664638412787e-10,0.1298901899555949,3.91664638412787e-10,0.4002193321975112
4.025760747474173e-10,-0.1997745573981414,4.025760747474173e-10,0.1314120570411775,4.025760747474173e-10,0.4002254426018585
4.131619728885507e-10,-0.1997686292951824,4.131619728885507e-10,0.1322939223462849,4.131619728885507e-10,0.4002313707048176
4.252638530466082e-10,-0.1997618522422939,4.252638530466082e-10,0.1328176513795394,4.252638530466082e-10,0.4002381477577061
4.387880472658397e-10,-0.1997542786935311,4.387880472658397e-10,0.1323883137513673,4.387880472658397e-10,0.4002457213064689
